"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"11",9999,9999,9999,9999,9999,5426.54957704035,9999,9695.73537117755,2257.49820082913,1541.50799031489,1224.11924651023,626.08798008744,351.681985251419,9999,9999,9999,9999,9999,9999,3562.69418720862,3899.51822393165,3978.48151631191,1227.13496609051,605.661715387382,396.722754672225,340.135889036840,9999,9999,9999,9999,9999,9896.994957103,9999,3179.38992934247,3346.33949861699,2960.39615685437,1785.35673474037,1173.3667244563,646.524614723201,9999,9999,6289.63418865545,9999,9999,9999,4507.67462986101,1557.87465086622,2025.63257960135,845.311035985577,1360.18596475655,564.948507579865,300.229547382080
"12",9999,9999,9999,9999,9999,9999,5665.51536693039,9999,8277.0297649802,1359.03128261578,482.551597052345,779.818725182396,151.472894355015,9999,9999,9999,9999,9999,9999,4968.70979580075,6208.38121183095,1285.94174620283,1854.63009610127,496.826463977858,157.204910583345,348.889308088646,9999,9999,9999,9999,9999,9999,9999,1238.74078731607,4983.05248183361,1491.96577719883,283.991721826189,169.599112724478,379.730697475705,9999,9999,9999,9999,9999,9999,4422.10277054633,9999,6275.26490245106,828.331862154765,1534.67862600113,830.904026285961,432.497083213607
"13",9999,9999,9999,9999,9246.24723916598,9999,1681.08437134197,3480.5085769849,4153.03634829351,1961.01212119896,588.082842366818,98.1694084598723,557.826753633721,9999,9999,9999,9999,9999,9999,9999,5097.63404342349,5446.19022034305,2021.17932747549,1465.79640480128,151.580713143401,472.287839487236,9999,9999,9999,9999,9999,9999,9999,3979.62198141368,315.937502384839,982.249245375075,1940.88223285253,1412.96093374323,224.874321123922,9999,9999,9999,9999,9999,7358.43562557666,2197.04559892009,5858.2768046324,7201.50724204445,3873.12089527497,1414.72198205295,818.928809097524,267.902736527031
"14",9999,9999,9999,9999,9999,9999,3367.8451915233,9999,3469.68188749822,999.50040935817,1120.07034498320,223.108199804296,220.115109759402,9999,9999,9999,9999,9999,9999,2837.01155855988,7680.74894212898,5471.67200902767,2521.21688459045,1424.81951520572,312.822419400634,287.591712333201,9999,9999,9999,9999,9999,9999,9999,9099.83317593683,1570.45074451272,1692.61699456851,1981.02585897923,718.269966423238,442.760962647191,9999,9999,9999,9999,9999,2400.36446904611,9999,2135.75936146419,2057.67849213499,2308.82485557115,714.500221062884,663.672429410174,101.339438364414
"15",9999,9999,9999,9999,9999,9999,1963.61789237323,9999,5311.92883992905,2527.82959497614,438.076025397922,1882.15189008978,316.784735235204,9999,9999,9999,9999,9999,9999,2871.61437396101,6179.4906650298,9999,1333.39668744999,673.966712274068,660.439197785273,120.557805719572,9999,9999,9999,9999,9999,9999,2428.27857412785,2804.90520189825,7081.94431652727,1064.48423361959,2024.14567952699,718.124938023542,755.686299718608,9999,9999,9999,9999,8493.41479747691,8191.59927171848,8339.18829971,1823.69739072306,2098.50620366951,3220.91403907837,2069.32729626143,734.466735332676,513.814742566652
"16",9999,9999,9999,9999,9999,9999,4301.99123973222,8127.95705528228,3474.22729692907,1453.76219177722,1451.60672918011,97.0711653785635,239.824167199363,9999,9999,9999,9999,6900.53102712429,9999,1403.56914142197,4065.69703382326,1509.77926098537,6541.61411618983,2260.10889144402,725.577600431479,86.1581447038414,9999,9999,9999,9999,8763.76778585527,7589.66454893675,5573.26628289381,2292.49745640451,9999,1292.55141372251,2789.34051665368,339.146097773302,315.295447615139,9999,9999,9999,9999,9999,9999,9999,3283.40183978889,2011.67476848521,1432.27620608271,378.225057828617,1506.59717511587,161.66828637263
"17",9999,9999,9999,9999,9999,9999,9122.65627636949,9999,3549.13453007654,2230.46508893337,1480.87989186464,336.41697205462,211.461609494986,9999,9999,9999,9999,9999,9999,9999,3277.82858165449,1619.08397224074,9999,720.169313134311,776.6467604426,454.023383566504,9999,9999,9999,9999,6616.80226037074,9999,1637.56589606049,9999,1647.86451997217,1382.46634518104,1041.15674907678,703.691549640387,328.55204164888,9999,9999,9999,9999,9999,9999,3905.0730629455,5224.17991160047,3549.11989155873,2204.95141466048,1450.01968467845,180.370195651373,229.377394457779
"18",9999,9999,9999,9999,9999,6686.9357102401,9999,6119.24460783385,2765.46823527968,1100.09044231534,747.886407401478,892.526253854118,655.286056910857,9999,9999,9999,9999,9999,8743.58110384624,9999,3312.12082433906,4032.50517256317,1926.06332385864,1087.43443545286,335.002764026959,253.519840232885,9999,9999,9999,9999,9999,9999,2398.86363568794,9999,1483.11380533987,819.886378446479,884.456317146969,354.345739685496,428.553930958939,9999,9999,9999,9999,9999,9999,1231.22984721431,5025.76246108918,1170.48117515152,1550.22121634841,316.612545185875,1390.29007918932,330.521996980224
"19",9999,9999,9999,9999,4721.6885463355,9999,3543.05355966551,1186.75046945792,5656.37151167068,1663.37832095409,2420.66109406068,776.643196324601,149.360690824674,9999,9999,9999,9999,9999,9999,9999,3521.67710644411,1948.99169814659,3836.61786659912,764.153075127929,705.317506082492,617.585433249567,9999,9999,9999,9999,9999,9999,9999,4737.21688091714,3570.89807806444,1064.94959841276,962.012913905677,312.851996450049,493.297286645772,9999,9999,9999,9999,9999,3791.44870135407,9999,2975.11142433517,2003.74645231581,1112.36067785946,615.989038638889,666.0177331099,410.851745477716
"20",9999,9999,9999,9999,9999,9999,4256.26616974883,993.634351109422,2794.03034560097,1673.58592144722,281.884990517072,459.843504033624,200.811617557468,9999,9999,9999,9999,9999,4137.53071842113,9999,9999,593.602958131042,517.665732744399,1860.19146804112,276.91268254977,163.532162563967,9999,9999,9999,9999,9999,9999,8477.43792334292,9999,2458.91405689984,3291.67297010902,1957.58242098481,1229.56604077366,278.118700191725,9999,9999,9999,9999,9999,9999,2194.52384991532,1330.69420487378,9999,3947.1544810922,2446.90925458219,900.396106085524,167.610468280951
