"","cat.penalty","F","G","ans","mas","d","match.penalty","VAR.fan","var.mismatch.penalty","modulate.by.distinct","distinctiveness","experiment","condition","retrievals","items","critical.retrieval","correct.item","distractor.item","model"
"39",-999,0.85,1,0.45,1.5,0.5,0,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,33.84
"40",-999,0.85,1,0.45,1.5,0.5,-3,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,0
"41",-999,0.85,1,0.45,1.5,0.5,-2.75,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,0
"42",-999,0.85,1,0.45,1.5,0.5,-2.5,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,0.02
"43",-999,0.85,1,0.45,1.5,0.5,-2.25,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,0
"44",-999,0.85,1,0.45,1.5,0.5,-2,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,0.08
"45",-999,0.85,1,0.45,1.5,0.5,-1.75,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,0.22
"46",-999,0.85,1,0.45,1.5,0.5,-1.5,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,1.16
"47",-999,0.85,1,0.45,1.5,0.5,-1.25,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,3.86
"48",-999,0.85,1,0.45,1.5,0.5,-1,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,8.04
"49",-999,0.85,1,0.45,1.5,0.5,-0.75,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,13.52
"50",-999,0.85,1,0.45,1.5,0.5,-0.5,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,18.66
"51",-999,0.85,1,0.45,1.5,0.5,-0.25,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,25.14
"52",-999,0.85,1,0.45,1.5,0.5,0,0,0,0,0,"agr_embed","US","agr_with_embed/agr-US-retrievals.txt","agr_with_embed/agr-US-items.txt",1,2,1,34.34
